"OBP","SLG","BA","WP","RD","Playoffs","Champion"
0.322,0.408,0.256,0.54601226993865,84,1,0
0.32,0.396,0.263,0.345679012345679,-234,0,0
0.325,0.409,0.27,0.58641975308642,118,1,0
0.326,0.395,0.253,0.438271604938272,-70,0,0
0.331,0.423,0.259,0.5,29,0,0
0.323,0.391,0.259,0.512345679012346,26,0,0
0.322,0.416,0.258,0.512345679012346,74,0,0
0.355,0.45,0.276,0.58641975308642,97,1,0
0.33,0.407,0.262,0.54320987654321,114,0,0
0.348,0.423,0.27,0.54320987654321,81,0,0
0.322,0.4,0.259,0.41358024691358,-89,0,0
0.333,0.391,0.257,0.506172839506173,-42,1,0
0.317,0.391,0.256,0.425925925925926,-52,0,0
0.319,0.396,0.261,0.462962962962963,-96,0,0
0.339,0.423,0.27,0.617283950617284,171,1,1
0.329,0.425,0.274,0.41358024691358,-186,0,0
0.329,0.468,0.267,0.487654320987654,7,0,0
0.331,0.407,0.265,0.493827160493827,70,0,0
0.322,0.386,0.252,0.5,-34,0,0
0.341,0.429,0.282,0.567901234567901,102,1,0
0.31,0.393,0.253,0.314814814814815,-284,0,0
0.343,0.434,0.27,0.592592592592593,135,1,0
0.345,0.432,0.281,0.481481481481481,12,0,0
0.36,0.472,0.282,0.604938271604938,181,1,0
0.328,0.458,0.268,0.549382716049383,124,0,0
0.333,0.457,0.268,0.512345679012346,34,0,0
0.331,0.418,0.25,0.469135802469136,-157,0,0
0.351,0.444,0.276,0.493827160493827,1,0,0
0.345,0.455,0.275,0.419753086419753,-90,0,0
0.337,0.449,0.272,0.444444444444444,-17,0,0
0.329,0.406,0.264,0.512345679012346,18,0,0
0.342,0.436,0.267,0.567901234567901,105,1,0
0.322,0.397,0.259,0.358024691358025,-185,0,0
0.332,0.423,0.262,0.574074074074074,77,1,0
0.321,0.387,0.248,0.416149068322981,-123,0,0
0.332,0.431,0.266,0.567901234567901,65,1,0
0.313,0.392,0.249,0.41358024691358,-134,0,0
0.317,0.409,0.249,0.438271604938272,-47,0,0
0.353,0.458,0.268,0.623456790123457,89,1,0
0.343,0.433,0.27,0.561728395061728,51,0,0
0.345,0.443,0.267,0.530864197530864,59,0,0
0.321,0.401,0.26,0.447204968944099,-64,0,0
0.342,0.414,0.273,0.537037037037037,63,0,0
0.331,0.396,0.27,0.388888888888889,-125,0,0
0.357,0.438,0.27,0.561728395061728,80,0,0
0.344,0.46,0.278,0.648148148148148,196,1,1
0.32,0.405,0.258,0.434782608695652,-128,0,0
0.329,0.457,0.266,0.549382716049383,66,0,0
0.328,0.403,0.26,0.416149068322981,-104,0,0
0.33,0.413,0.268,0.475308641975309,-7,0,0
0.33,0.417,0.263,0.518518518518518,32,0,0
0.349,0.475,0.284,0.623456790123457,167,1,1
0.323,0.405,0.268,0.43558282208589,-77,0,0
0.36,0.491,0.289,0.58641975308642,152,1,0
0.323,0.416,0.259,0.54320987654321,41,1,0
0.331,0.446,0.263,0.530864197530864,76,0,0
0.318,0.395,0.245,0.425925925925926,-192,0,0
0.316,0.401,0.254,0.419753086419753,-79,0,0
0.344,0.445,0.267,0.45679012345679,-39,0,0
0.3,0.375,0.24,0.265432098765432,-337,0,0
0.333,0.421,0.266,0.561728395061728,59,1,0
0.336,0.431,0.263,0.537037037037037,128,0,0
0.336,0.427,0.274,0.512345679012346,-31,0,0
0.303,0.368,0.243,0.524691358024691,18,0,0
0.329,0.419,0.256,0.419753086419753,-159,0,0
0.341,0.431,0.277,0.555555555555556,43,1,0
0.326,0.401,0.258,0.512345679012346,-5,0,0
0.314,0.374,0.247,0.409937888198758,-112,0,0
0.356,0.453,0.271,0.619631901840491,161,1,1
0.327,0.417,0.254,0.592592592592593,125,1,0
0.343,0.419,0.261,0.530864197530864,94,0,0
0.338,0.42,0.267,0.462962962962963,-48,0,0
0.333,0.388,0.261,0.395061728395062,-153,0,0
0.344,0.41,0.271,0.574074074074074,158,0,0
0.338,0.425,0.264,0.62111801242236,117,1,0
0.35,0.454,0.279,0.524691358024691,80,0,0
0.32,0.404,0.265,0.388888888888889,-137,0,0
0.33,0.454,0.266,0.438271604938272,-143,0,0
0.349,0.455,0.279,0.530864197530864,68,0,0
0.341,0.433,0.282,0.611111111111111,207,1,0
0.346,0.423,0.267,0.604938271604938,145,1,0
0.331,0.409,0.26,0.627329192546584,143,1,0
0.309,0.403,0.246,0.41358024691358,-106,0,0
0.345,0.444,0.277,0.574074074074074,194,0,0
0.321,0.413,0.246,0.41358024691358,-53,0,0
0.338,0.449,0.268,0.5,58,0,0
0.33,0.408,0.253,0.481481481481481,-65,0,0
0.321,0.412,0.249,0.45679012345679,-98,0,0
0.337,0.423,0.274,0.450617283950617,-120,0,0
0.3,0.379,0.248,0.341614906832298,-289,0,0
0.337,0.403,0.261,0.487654320987654,-64,0,0
0.338,0.417,0.262,0.518518518518518,54,0,0
0.323,0.398,0.256,0.382716049382716,-154,0,0
0.32,0.409,0.264,0.567901234567901,70,0,0
0.32,0.39,0.253,0.345679012345679,-194,0,0
0.332,0.437,0.272,0.583850931677019,56,1,0
0.334,0.418,0.261,0.512345679012346,17,0,0
0.322,0.395,0.256,0.46583850931677,-13,0,0
0.354,0.455,0.275,0.639751552795031,200,1,1
0.339,0.432,0.261,0.635802469135803,146,1,1
0.339,0.422,0.259,0.496894409937888,-14,0,0
0.319,0.381,0.244,0.447204968944099,-89,0,0
0.321,0.381,0.253,0.407407407407407,-153,0,0
0.35,0.419,0.275,0.574074074074074,115,0,0
0.344,0.442,0.267,0.58641975308642,167,1,0
0.338,0.425,0.268,0.598765432098765,139,1,0
0.314,0.39,0.253,0.341614906832298,-245,0,0
0.338,0.455,0.269,0.444444444444444,-39,0,0
0.327,0.43,0.261,0.481481481481481,-15,0,0
0.327,0.405,0.261,0.462962962962963,-39,0,0
0.341,0.442,0.267,0.567901234567901,141,1,0
0.324,0.412,0.26,0.54320987654321,86,1,0
0.319,0.38,0.248,0.388888888888889,-142,0,0
0.334,0.439,0.266,0.509316770186335,27,0,0
0.336,0.43,0.261,0.54320987654321,76,0,0
0.334,0.451,0.268,0.512345679012346,3,0,0
0.324,0.419,0.262,0.407407407407407,-115,0,0
0.35,0.458,0.278,0.561728395061728,76,1,0
0.354,0.483,0.292,0.450617283950617,17,0,0
0.32,0.409,0.26,0.407407407407407,-152,0,0
0.326,0.423,0.264,0.469135802469136,-2,0,0
0.347,0.451,0.271,0.574074074074074,78,1,0
0.318,0.409,0.266,0.401234567901235,-129,0,0
0.323,0.425,0.255,0.530864197530864,14,0,0
0.319,0.426,0.251,0.419753086419753,-66,0,0
0.337,0.433,0.272,0.524691358024691,5,0,0
0.319,0.396,0.253,0.419753086419753,-142,0,0
0.323,0.387,0.249,0.506172839506173,-71,0,0
0.334,0.435,0.267,0.590062111801242,91,1,0
0.345,0.439,0.264,0.62962962962963,239,1,0
0.329,0.414,0.26,0.530864197530864,27,0,0
0.313,0.393,0.247,0.382716049382716,-201,0,0
0.336,0.399,0.252,0.487654320987654,-23,0,0
0.36,0.445,0.288,0.716049382716049,300,1,1
0.342,0.46,0.266,0.555555555555556,51,0,0
0.339,0.441,0.27,0.574074074074074,130,1,0
0.32,0.388,0.258,0.382716049382716,-215,0,0
0.344,0.471,0.275,0.450617283950617,-78,0,0
0.325,0.43,0.263,0.493827160493827,14,0,0
0.352,0.472,0.28,0.506172839506173,-5,0,0
0.333,0.429,0.265,0.524691358024691,38,0,0
0.346,0.429,0.271,0.58641975308642,96,1,0
0.341,0.435,0.272,0.45679012345679,-119,0,0
0.341,0.423,0.267,0.524691358024691,47,0,0
0.335,0.411,0.256,0.401234567901235,-140,0,0
0.356,0.47,0.286,0.58641975308642,139,1,0
0.343,0.447,0.274,0.521472392638037,60,0,0
0.367,0.47,0.288,0.555555555555556,134,0,0
0.362,0.455,0.294,0.506172839506173,71,0,0
0.343,0.438,0.275,0.487654320987654,-4,0,0
0.331,0.409,0.262,0.490683229813665,-66,0,0
0.361,0.477,0.278,0.444444444444444,-6,0,0
0.348,0.425,0.288,0.475308641975309,-51,0,0
0.341,0.431,0.257,0.530864197530864,69,0,0
0.325,0.403,0.246,0.447852760736196,-86,0,0
0.337,0.407,0.27,0.425925925925926,-132,0,0
0.326,0.432,0.266,0.41358024691358,-164,0,0
0.346,0.43,0.263,0.580246913580247,69,1,0
0.354,0.45,0.277,0.540372670807453,57,1,0
0.36,0.458,0.27,0.565217391304348,134,1,0
0.329,0.4,0.251,0.401234567901235,-122,0,0
0.339,0.424,0.267,0.425925925925926,-95,0,0
0.33,0.402,0.254,0.469135802469136,-63,0,0
0.361,0.442,0.269,0.561728395061728,127,1,0
0.362,0.472,0.278,0.598765432098765,178,1,1
0.356,0.455,0.27,0.58641975308642,116,1,0
0.329,0.399,0.257,0.428571428571429,-109,0,0
0.352,0.446,0.283,0.438271604938272,-126,0,0
0.341,0.469,0.275,0.512345679012346,-47,0,0
0.322,0.395,0.256,0.432098765432099,-115,0,0
0.347,0.459,0.277,0.617283950617284,232,1,0
0.341,0.436,0.266,0.635802469135803,179,1,1
0.353,0.447,0.279,0.481481481481481,36,0,0
0.35,0.448,0.278,0.580246913580247,118,1,0
0.329,0.42,0.257,0.41358024691358,-173,0,0
0.337,0.429,0.277,0.462962962962963,-93,0,0
0.341,0.451,0.272,0.588957055214724,154,0,0
0.373,0.467,0.289,0.598765432098765,149,1,0
0.348,0.472,0.288,0.444444444444444,-122,0,0
0.326,0.443,0.261,0.428571428571429,-135,0,0
0.325,0.395,0.263,0.395061728395062,-161,0,0
0.355,0.42,0.267,0.598765432098765,148,1,0
0.348,0.433,0.282,0.397515527950311,-65,0,0
0.339,0.42,0.266,0.475308641975309,6,0,0
0.353,0.426,0.273,0.459627329192547,-71,0,0
0.328,0.384,0.264,0.391304347826087,-159,0,0
0.323,0.427,0.265,0.419753086419753,-135,0,0
0.363,0.434,0.279,0.595092024539877,142,1,0
0.366,0.453,0.282,0.604938271604938,169,1,0
0.355,0.446,0.259,0.537037037037037,47,0,0
0.351,0.431,0.275,0.475308641975309,-5,0,0
0.334,0.419,0.259,0.484472049689441,-7,0,0
0.332,0.393,0.252,0.45679012345679,-71,0,0
0.343,0.455,0.269,0.487654320987654,-46,0,0
0.356,0.434,0.271,0.530864197530864,41,0,0
0.338,0.426,0.262,0.46583850931677,-29,0,0
0.343,0.411,0.274,0.425925925925926,-141,0,0
0.361,0.479,0.293,0.58641975308642,86,1,0
0.352,0.457,0.28,0.518518518518518,21,0,0
0.335,0.415,0.272,0.524691358024691,4,0,0
0.314,0.393,0.246,0.401234567901235,-147,0,0
0.342,0.453,0.272,0.654320987654321,245,1,0
0.347,0.447,0.273,0.487654320987654,32,0,0
0.348,0.463,0.28,0.567901234567901,147,1,0
0.337,0.433,0.264,0.552147239263804,39,1,0
0.339,0.444,0.271,0.49079754601227,-70,0,0
0.337,0.402,0.262,0.475308641975309,-10,0,0
0.347,0.448,0.272,0.549382716049383,71,1,0
0.347,0.461,0.291,0.475308641975309,-29,0,0
0.323,0.415,0.264,0.401234567901235,-141,0,0
0.317,0.373,0.248,0.333333333333333,-256,0,0
0.356,0.436,0.28,0.62962962962963,254,1,0
0.324,0.399,0.263,0.447204968944099,-185,0,0
0.31,0.387,0.252,0.512345679012346,-9,0,0
0.33,0.396,0.26,0.45679012345679,-105,0,0
0.328,0.389,0.266,0.432098765432099,-84,0,0
0.31,0.394,0.249,0.401234567901235,-139,0,0
0.33,0.394,0.259,0.54320987654321,61,0,0
0.364,0.46,0.288,0.703703703703704,309,1,1
0.338,0.397,0.257,0.45679012345679,-62,0,0
0.326,0.395,0.264,0.462962962962963,-95,0,0
0.311,0.374,0.254,0.423312883435583,-68,0,0
0.33,0.409,0.253,0.604938271604938,114,1,0
0.345,0.468,0.276,0.472049689440994,4,0,0
0.353,0.421,0.274,0.54601226993865,106,0,0
0.341,0.441,0.258,0.50920245398773,28,0,0
0.321,0.385,0.261,0.388888888888889,-131,0,0
0.357,0.462,0.289,0.54320987654321,69,1,0
0.34,0.448,0.266,0.539877300613497,48,0,0
0.346,0.416,0.272,0.518518518518518,35,0,0
0.343,0.426,0.27,0.623456790123457,210,1,1
0.341,0.429,0.268,0.604938271604938,131,1,0
0.352,0.463,0.291,0.481481481481481,-6,0,0
0.321,0.396,0.263,0.419753086419753,-72,0,0
0.341,0.417,0.273,0.496894409937888,-54,0,0
0.321,0.389,0.253,0.469135802469136,-113,0,0
0.358,0.467,0.286,0.53416149068323,53,1,0
0.357,0.478,0.288,0.512345679012346,15,0,0
0.332,0.415,0.258,0.487654320987654,-6,0,0
0.346,0.395,0.259,0.567901234567901,71,1,0
0.344,0.403,0.259,0.518518518518518,117,1,0
0.333,0.407,0.264,0.416149068322981,-73,0,0
0.33,0.418,0.268,0.54320987654321,97,0,0
0.325,0.398,0.26,0.484472049689441,-61,0,0
0.333,0.409,0.27,0.419753086419753,-89,0,0
0.316,0.425,0.258,0.481481481481481,-49,0,0
0.332,0.405,0.262,0.54320987654321,68,0,0
0.362,0.436,0.287,0.592592592592593,203,1,0
0.339,0.423,0.26,0.401234567901235,-182,0,0
0.322,0.385,0.255,0.419753086419753,-172,0,0
0.329,0.404,0.262,0.487654320987654,-35,0,0
0.342,0.407,0.271,0.469135802469136,-96,0,0
0.355,0.485,0.28,0.555555555555556,92,1,0
0.337,0.414,0.258,0.555555555555556,-9,1,0
0.324,0.396,0.255,0.450617283950617,-19,0,0
0.334,0.438,0.274,0.475308641975309,-16,0,0
0.31,0.389,0.244,0.469135802469136,-40,0,0
0.333,0.432,0.27,0.592592592592593,125,1,0
0.35,0.472,0.274,0.539877300613497,46,1,0
0.359,0.457,0.283,0.524691358024691,7,0,0
0.339,0.431,0.276,0.434782608695652,-181,0,0
0.32,0.401,0.251,0.469135802469136,1,0,0
0.36,0.447,0.281,0.524691358024691,104,0,0
0.331,0.422,0.256,0.5,5,0,0
0.369,0.475,0.293,0.614906832298137,183,1,1
0.355,0.472,0.287,0.512345679012346,-3,0,0
0.323,0.42,0.256,0.327160493827161,-320,0,0
0.329,0.393,0.257,0.493827160493827,-15,0,0
0.336,0.397,0.262,0.506172839506173,-39,0,0
0.332,0.398,0.267,0.46583850931677,-40,0,0
0.316,0.384,0.252,0.555555555555556,51,1,0
0.353,0.441,0.279,0.493827160493827,-5,0,0
0.357,0.425,0.288,0.481481481481481,-23,0,0
0.327,0.406,0.262,0.54320987654321,73,0,0
0.324,0.412,0.27,0.438271604938272,-33,0,0
0.36,0.436,0.288,0.567901234567901,84,1,0
0.344,0.452,0.265,0.481481481481481,-39,0,0
0.325,0.387,0.256,0.41358024691358,-140,0,0
0.329,0.407,0.266,0.450617283950617,-57,0,0
0.338,0.402,0.265,0.561728395061728,89,1,0
0.366,0.484,0.287,0.527950310559006,98,0,0
0.331,0.388,0.253,0.419753086419753,-110,0,0
0.33,0.407,0.267,0.54320987654321,53,1,0
0.358,0.469,0.284,0.552147239263804,129,1,0
0.331,0.42,0.259,0.45679012345679,-43,0,0
0.331,0.408,0.262,0.641975308641975,208,1,1
0.346,0.413,0.267,0.524691358024691,41,0,0
0.33,0.395,0.264,0.493827160493827,-12,0,0
0.331,0.38,0.26,0.438271604938272,-86,0,0
0.325,0.414,0.27,0.515337423312883,-1,0,0
0.338,0.411,0.265,0.580246913580247,112,1,0
0.324,0.396,0.264,0.450617283950617,-63,0,0
0.335,0.409,0.275,0.469135802469136,-23,0,0
0.323,0.422,0.273,0.41358024691358,-209,0,0
0.362,0.434,0.275,0.524691358024691,62,0,0
0.314,0.346,0.248,0.395061728395062,-143,0,0
0.33,0.409,0.267,0.524691358024691,86,0,0
0.32,0.397,0.263,0.518518518518518,-19,0,0
0.321,0.383,0.261,0.5,13,0,0
0.328,0.378,0.258,0.425925925925926,-59,0,0
0.327,0.385,0.264,0.438271604938272,-137,0,0
0.326,0.386,0.257,0.576687116564417,50,0,0
0.305,0.39,0.248,0.364197530864198,-72,0,0
0.353,0.435,0.279,0.54320987654321,60,0,0
0.33,0.394,0.254,0.419753086419753,-131,0,0
0.351,0.426,0.274,0.598765432098765,137,1,0
